text,label,binary_rate_change_result
여자는 수위는 지키되 몸매 드러나게 입는 게 젤 야함,0,1.0
가게서 저러고 있을 거면 미안해서라도 씨씨티비 향해서 빤스 한번 보여주지.,1,1.0
30년 묵은 아다면 쌉가능?ㅋㅋㅋㅋ,1,1.0
좀 안 친하면 어떠냐 초딩들도 반에서 9명씩은 안 친하게 지냄,0,0.0
우리집 칠곡이야,0,0.0
더러운것들 다 모아서 불태우고싶네,1,1.0
안 그래도 아픈 사람들인데 참 안타까워,0,0.0
옷이 터질거 같애,1,0.0
되겠니? 쉬는시간에 실컷 놀고 지금 가려고 하면 잘도 보내주겠다.,1,1.0
폰부심을 도대체 왜 부리는거야?,0,0.0
너의 삶 자체가 한 편의 소설 같다. 엽기소설.,1,1.0
#@#들은 #@#을 죽인 악마의 자식들일 거야,1,1.0
곧 관 짤 거 같은데 놔둬라.,1,1.0
ㅋㅋㅋ 집이 없어서 못 사는 게 아니고 가격 때문에 못 사는 건데 뭔 헛소리야,0,1.0
내가 말을 안했구나 나 공익 나왔어,0,0.0
이런 일이 벌써 몇 번째야 우리가 흑우로 보이냐?,0,1.0
금은방 가면 개인 물건을 헐 값에 사는 경향이 있다,0,0.0
아 이런 사기꾼들은 싹 다 굶어 뒤져야 하는데,1,1.0
딱봐도 주름이 자글자글한게 증조할머니는 되겠구만,1,1.0
너는 고졸 주제에 공기업에 다녀?,1,1.0
너 이번에 공부 열심히 했자나 성적 잘 나왔어?,0,0.0
아 흑인들은 그냥 보면 너무 무서워,0,1.0
알만한 사람들은 이미 다 알지,0,0.0
할 말 다했어요? 기분 나빠서 진짜 뻔뻔하긴,1,1.0
아 어쩌지 고기가 다 타버렸네,0,0.0
자존심은 좀 지키며 살자,1,0.0
죄송합니다.아직 그런 정책은 없어요,0,0.0
봤는데? 어땠어?,0,0.0
그리고 너 어디 가서 그런 말 하면 팬들한테 혼나,0,0.0
영화보러 가지 않을래?,0,0.0
야 이 중고차 괜찮지 않냐?,0,0.0
우리나라 포털싸이트에서 맨날 떠들어 대는게 종교개판이라는 소리다,1,1.0
그런 속담이야말로 스토킹을 포장해주는 말이니까,0,0.0
어짜피 너같은 그지들 사라고 만든거 아님,1,1.0
쟤는 요리도 못하면서 왜 저렇게 아는 척이야?,1,1.0
너 왜 이렇게 살 쪘어 ㅋㅋ,0,0.0
아무리 그래도 시골 출신이라고 무시하는 건 좀 아니지 않나 너는 인성이 촌스럽다 멍청한놈아,1,1.0
그니까 남자라면 모름지기 계집들 여러명 만나야해,1,1.0
걔네는 심판도 자격 미달이라 오심나자너ㅋㅋ,1,1.0
젠더를 떠나 #@인간및인간집단.조직및단체.교육기관# 정도 학벌로는 아무것도 못하는 게 맞아,1,1.0
개나소나 기자함 진짜 ㅋㅋㅋ,1,1.0
살기 싫으면 농약으로 칵테일 만들어줄까?,1,1.0
또 치킨 먹냐 돼지새낔ㅋ,1,1.0
전세 들어가게 어디냐?,0,0.0
흰색 나시에 금목걸이라니 조폭 두목이야?ㅋㅋㅋ,1,1.0
맞음 언니들이 안 가져 간 놈은 이유가 있다구 진짜 폐지중에 폐지 줍는 거랬어,1,1.0
저렇게 하는 거면 대통령 내가 해도 되겠다 ㅋㅋ,0,1.0
우리 와이프 푹 퍼지고 우악스럽게 시장 아줌마처럼 변해서 걱정 1도 안된다.,1,1.0
웃긴건 대구에서 진보를 빠는 빨갱이다,1,1.0
아직 너무 옛날 사고방식인 사람들 많은 것 같아,0,0.0
촉법소년 같은 소리 하네 다 쳐넣어야지,1,1.0
인종차별 좀 하지 마라 ㅉㅉ,1,0.0
좌파와는 말도 섞지 말아야지,0,1.0
어어 그래보이네 너 머리에 폭탄 맞은줄 ㅋㅋ 얼굴이랑 동시에,1,1.0
와 성형하고 저 정도면 하기 전에는 얼마나 못 생겼던 거야?,1,1.0
헐? 몇 주 진단 받았는데? 어떡해,0,0.0
맞아 지잡대 놈들은 학교 욕할 거면 왜 다니냐?,1,1.0
회장님께 애교는 부렸으나 성희롱 당해서 충격이 크다 시전,1,1.0
#@인간및인간집단.인물.정치인.남성# 지지자들은 #@인간및인간집단.인물.정치인.남성# 왜 이렇게 싫어해,0,0.0
딸배 한남 콱 뒤져버렸으면 좋겠네,1,1.0
피부과 의사들은 돈 때문에 하는 것들이라 다 사기꾼이잖아.,1,1.0
"아, 요즘 세대를 이해 못하는 틀딱은 제발 잔소리 좀 작작 하세요.",1,1.0
"난민이 아니라 특별공로자라니, 말이 되나",0,0.0
저렇게 관심 받으려고 비정상적인 행동하는 애들은 뒤지게 맞으면 된다.,1,1.0
본인이 본인 손으로 망쳐온 것입니다.,0,0.0
그런 흑인들은 총 맞아서 죽어도 싸다.,1,1.0
ㅋㅋ 반지 부수고 싶어 환장했제?,1,1.0
너 옷스타일 보니까 호모네,1,1.0
다 늙은 틀딱이면 죽든가 요양원에 짜져있든가 하지 참,1,1.0
틱톡 90%이상이 다짜가임,1,1.0
너 자꾸 까불어라,1,1.0
마른 애들이 입어야 예쁘지 뚱녀는 최대한 가려야 해,1,1.0
야 너 저번에 썸 탄다던 애랑 어떻게 됐어?,0,0.0
진짜 머가리가 텅텅 빈 것도 아니고 그걸 까먹냐.,1,1.0
저 직원은 너무 까칠해서 무서울 정도야.,0,0.0
젓가락으로 집어먹을 음식이 많네,0,0.0
여자들은 자기들끼리 왕따시키는 걸 잘하더라?,1,0.0
게이팝이라고 검색 해보면 게이 같다고 비난당하던데,1,0.0
그건 비판이 아니라 비난이라고.,0,0.0
넌 자유로워지려면 도대체 몇 년 남은 거니?,0,1.0
#@#은 싫은데 #@# 여자는 좋으신 분들 있나요?,0,0.0
진짜 생각을 안하는 더러븐 원숭이 종속들,1,1.0
종북페미들도 만만치 않음,1,1.0
ㅋㅋㅋㅋ 나 놀 땐 놀아도 공부할 때는 열심히 함,0,0.0
요즘 연상녀랑 연하남 커플 많더라,0,0.0
굳이 털바퀴를 주어서까지 키운다고?,1,0.0
저 사람 아들이 문제면 #@인간및인간집단.인물.정치인.남성#이 아들도 당연히 문제아니야?,1,0.0
나는 모든 여성은 모르겠고 꼴페미들 모조리 데려가서 삼청교육대마냥 패고 사상교화 좀 했으면,1,1.0
그래도 이 여자 덕에 모르는 거 알게 됐잖아.,0,0.0
진짜 사사건건 오지랖 개 쩐다 자기가 뭔데 참견하고 찌럴이냐,1,1.0
그러면서 맨날 사회 탓만 하면 뭐가 달라지냐?,1,0.0
"저소득층, 임대주택 거주자, 외노자도 도와주면 안됨",1,1.0
아 저 여자한테 한번만 밖아보고 싶다,1,1.0
ㅇㅇ 그래서 운전 딥따 무식하게 하잖아ㅋㅋ,1,1.0
상사라고 성향까지 간섭해,1,0.0
#@인간및인간집단.인물.범죄자.남성#병이네ㅋㅋ,1,1.0
요즘 여자들은 뽕브라로 사기쳐서 사람 혈압 오르게 만들어,1,1.0
우와 진짜 별론데?ㅋㅋ,1,1.0
돼지 육수들이 말 걸면 진심 죽이고 싶음,1,1.0
야 숨쉬지마 니가 먹는 공기도 아까워.,1,1.0
이제까지 남자친구랑 데이트 비용 좀 더 냈는데 데이트 통장 만들쟤,0,0.0
왜저렇게 여자 같이 굴지?,1,0.0
#@인간및인간집단.인물.정치인.남성#은 발언 하나 사과하고 가야되지 않냐고,0,0.0
이렇게 띨빵한 놈은 처음 보겠네,1,1.0
개노무자석들 돈만처밝히고,1,1.0
쟤는 화장실을 왜 이렇게 오래 가 있어?,0,0.0
이 따구로 장사할꺼면 그냥 폐업해라 십알 인기 좀 많드고 휴무도 #@#도 띡 공지하고 사장 색희가 책임감이 없네,1,1.0
제가 틀린말 한건 아닌거 같은데 ㅋ,1,0.0
ㅋㅋ 그지면 그냥 없는대로 살지 뭘 갖겠다고 난리인지,1,1.0
저렇게 못나게 태어났을까 그대로 가라 앉히겠지… 바닷속 추억으로 남을 놈들.,1,1.0
#@#은 민폐국이라 그런 개념이 없어 ㅋㅋ,1,1.0
요즘 애들 되게 멍청한 애들 천지인게 어휘력 진짜 많이 떨어진다잖아,1,1.0
너도 너 같은 애들이랑 같이 앉아서 공부하는 거 싫지 않냐?,1,1.0
애가 넷인데 애초에 피임도 안하고 덜컥 임신부터 한걸 보니 욕정에 눈이 멀어버린 짐승인듯,1,1.0
그림으로 대학 간다는 애들 보면 돈 낭비 하는 걸로 밖에 안 보여,1,1.0
아 치울꺼야,0,0.0
운전면허 없는 너보단 더 잘해 훈수둘 꺼면 하늘에 있는 아버지 데려와,1,1.0
"백신 못맞아 차별 운동 못해 건강 잃어.,",0,0.0
아 대선 토론 보고 있으면 머리 아파,0,0.0
머리짧고 그냥 인터넷 돌아다니는 의성어 좀 썼다고 온라인 테러.. 없던 혐오도 생기겠네,0,1.0
진짜 좀 제재가 있었으면 좋겠네,0,0.0
고년 꽁으로 돈도 챙기고 아주 야무진 년일세.,1,1.0
백신 확보도 못하고 정부탓이 아니라니,1,0.0
섬나라 놈들이 문제라니깐. 역사도 없는 것들이,1,1.0
아 이번에 스트레스 받아서 ㅠㅠㅠ 피부과 진짜 가봐야겠다,0,0.0
예쁜여자면 환장하고 대접해주는게 남자들인데 왜 여자 탓을 함? ㅋㅋ,0,1.0
어문 계열 전공자들은 졸업하고 뭐해?,0,0.0
걍 싹다 후쿠시마로 보내버려,1,1.0
이 모자란 놈은 뭐하는 놈이야,1,1.0
어디 게이바 가서 남자나 만나지 왜 도서관에 옴?,1,1.0
그럼 걍 가서 뒈지게 맞아보면 성격 고친다.,1,1.0
남의 아이디어만이 아니라 남의 남편까지 빼았았으니 내가 당신 딸이 될 수 없었지.,0,1.0
너 뭐 먹고 싶어?,0,0.0
이 예쁜 유튜버 사진 좀 봐바,0,0.0
기자 따위가 토달지말어,1,1.0
"로또는 맞으면 세금 떼고, 백신 맞아 죽으면 인과관계 인정 안해주고?",1,0.0
집으로 끌고 가서 머리채 잡고 엉덩이 때리면서 벌 줬어야지,1,1.0
옆집 남자 소 도축장에서 일한대,0,0.0
네가 너무 순진한 것 같아서 말해준 것 뿐이야,0,0.0
우상이 아니라 밉상이 되는 거 아니니?,1,1.0
엎드려 비는 게 아니면 손 뻗어 줄 필요도 없음.,1,0.0
어른을 보면 인사를 해야지,0,0.0
저것들은 잠도 없나,1,0.0
1호선에 무슨 일이라도 생겼어?,0,0.0
너무 아니꼽게 보는 건 좋지 않아.,0,0.0
내가 좋은 알바자리 소개시켜줄까?,0,0.0
잰 왜 이렇게 몸을 들썩거리냐?ㅋㅋ 진동모드냐? 꺼버리고 싶네,1,1.0
아니 도로에  도대체 차가 왜 이렇게 많은거야?,0,0.0
내 말이... 그런 사람들은 대머리에 무좀 걸리고 겨드랑이에 종일 홍수 났으면 좋겠어.,1,1.0
나이 쳐먹고 왕따시키는거 진짜 개유치해,1,1.0
다 자기관리 안 해서 그럼.,1,0.0
와 새벽인데 #@#에 돗자리 깔고 앉은 사람들 되게 많다,0,0.0
저딴 쓰레기같은 인간한테 배운 님 애도 쓰레기일듯,1,1.0
미얀마 국민들 힘내세요,0,0.0
"안녕하세요, 같이 놀까요?",0,0.0
저런 싸구려 애들이나 위안부로 보내야지,1,1.0
쭈쭈빵빵이잖아 오우야~,1,1.0
할 수도 없고 안 할 수도 없고.,0,0.0
그거 다 지가 모자라서 그런거지,1,1.0
이번에 영화 봤는데 진짜 재미없더라,0,0.0
수입차 서비스센터보다 못한 정부라니,0,1.0
무슨 말을 못해 내가,0,0.0
내 말은 애도 아니고 왜 그걸 다 티내냐는 말이야,0,1.0
이번에 너희 부서 신입들어왔다면서?,0,0.0
우리나라 펜싱 선수들 잘 싸웠습니다,0,0.0
그래서 너 같으면 저 가격 주고 저거 사 먹겠냐고,0,1.0
어떻게 진상짓을 하는데?,0,0.0
오 몇 박스나 어디에 쓰려고 그런다니?,0,0.0
와 지잡대 수준 이정도일 줄이야 심하다,1,1.0
포카혼타스종족같이 생겨서 눈코입 찌그러진년,1,1.0
저 건장한 사내 자식처럼 보이는 여돌은 꼴페미인가? ㅋㅋㅋ,1,1.0
말이 그렇다는 거지 꼴통아.,1,1.0
내가 너랑은 말을 말아야지.,0,0.0
우냐 너 지금 울어?,1,0.0
너같은 밥버러지는 내 회사에 필요없으니 나가,1,1.0
한남들 내로남불 오지네,1,1.0
엄마한테 용돈 받은거에요.,0,0.0
저 팀장은 왜 시키지도 않은데 혼자 총대매는거야? 재수없네,1,1.0
으 그냥 그런 생각 밖에 안하는구나 한심해,0,1.0
아니 취직도 못한 한녀 백수 주제에 겁나 놀러다니네 ㅋㅋㅋ 서울에 좋은 숙소 또 잡던데?,1,1.0
세금 받고도 제대로 안 치우는 청소 노동자들 근성 때문에 그래,1,1.0
나이를 곱게 먹어야지 젊은 사람들 앞에서 망신살이 뻗쳤구만.,1,1.0
이번에 #@#에 #@#생겼다던데,0,0.0
요즘 유튜버들 보면 다들 돈 쉽게 버는거 같아,0,0.0
뭐래 이게 이상한 소리를 하고 있네,0,0.0
앂하고 있는 순간을 잡으시려면 돈이좀 비쌉니다,1,1.0
"와, 저 여배우 정말 예쁘다.",0,0.0
갑자기 국회의원은 왜?,0,0.0
와 중국 신작게임을 아예 막아버리는데 ㅋㅋㅋ,0,0.0
니 같은 돼지 몸매는 싫어하니까 걱정하지마~,1,1.0
우리나라 야동금지됨,0,0.0
"어차피 그 아파트 주민들은 너같이 월세로 5,60 내야되는 월세충들하고는 수준이 다름",1,1.0
다 입에 발린 소리인거 다 아는데 뭐,1,1.0
오늘따라 쟤 텐션이 많이 높다,0,0.0
그건 그냥 니가 구별을 못 하는 거 아님?,0,0.0
야 너무 크게 말하지 마 ㅋㅋ,0,0.0
외모로 평가하는 사람들 왜 이렇게 많아?,0,0.0
저팔계놈이 배위에서 씩씩대며 육수국물 얼굴로 뚝뚝 떨어뜨리는걸 견뎌낸건 순전히 신앙의 힘이었나,1,1.0
데이트 폭력을 당하면서 계속 사귀는 여자들이 이해가 안돼,0,0.0
재벌이라는 시부모가 천박함이 넘쳐흘러서 이상하긴 했어.,1,1.0
브래드 지유가 브래드 민정을..,0,0.0
호박에 줄 긋는다고 수박이 되진 않더라ㅋㅋ,1,1.0
새로 온 여학생이네?,0,0.0
이제 여름 다 갔나봐 너무 시원하다,0,0.0
왜 생일 선물 주면 주는 쪽도 받는 쪽도 다 행복하잖아,0,0.0
부칸 애들은 왜이렇게 다 음침하냐,1,1.0
앉은거도 장애인이라던데 진짜 뇌가 없는건가,1,1.0
저렇게 아이가 절박하면 일본이라도 가서 대리모 시술을 하든가 하지,0,1.0
넌 우리 집에서 돈 받아먹는 빈대니 그쯤은 해야지 거지,1,1.0
ㅇㅇ 혹시나 넘보쥐마라 귀한 내동생이다,0,0.0
#@인간및인간집단.인물.정치인.남성# 후보로 나오면 뽑아야겠다.,0,0.0
그러니까 저렇게 살이 찌지,1,1.0
나는 우울증이다 공황이다 하는 애들 보면 진짜 이해 안 감.,0,1.0
왜 사람말을 못 믿어,0,0.0
우리나라 기업들 돈 벌면 다 중국에 갖다 바치지.,1,1.0
아니야 그 여자가 나쁜 거야,0,0.0
술 취하면 성격 나빠지는 버러지들은 다 걸러야 해,1,1.0
혼자 힐링하러 여행 보내줬더니 뒹굴고 왔네;,1,1.0
중국인들은 아직도 김치가 자기들 거라고 우기네 ㅋㅋㅋ,0,0.0
주식 개망했다...,0,0.0
남의 앞길 운운하네,0,0.0
그러게 싸돌아다닐때부터 알아봤어,1,1.0
물론 속이는 사람이 나쁘긴 한데 데이팅앱에서 만난 사람을 뭘 믿고 돈을 막 보낸대?,1,0.0
진짜 선동하기 쉬운 헬조선의 미개인들 ㅋㅋㅋ,1,1.0
야 이 장식대굴빡아 그렇게 살면 인생 망해요,1,1.0
요즘 잼민이들은 어플로 감시까지 당하는구나... 불쌍하다.,1,1.0
"시대랑 동 떨어지는 문화는 다 없어져야 함, 존중해야 할 이유가 없음",1,1.0
별풍 2천만원치 쐈는데 블랙 먹었네 이건 좀 업보 같기도,0,0.0
요즘 #@인간및인간집단.인물.방송인.남성# 나오려고 하더라? 대박이지?,0,0.0
제내들 진짜 못생겼다 ㅋㅋ,1,1.0
난 왜 여자친구가 없을까?,0,0.0
아니 국회의원들이 하는 일이 마음에 안 들어서,0,0.0
돼지국밥이나 팔면 딱인데 팔자가 좋아 호의호식하네,1,1.0
로얄캐닌 비싸던데,0,0.0
학교 교사 아니면 선생님이란 말 좀 그만해라.,0,0.0
사돈 집안 행사니 끝까지 자리 지켜.,0,0.0
진짜 승부욕을 불태워 보시지.,0,0.0
도핑국가 수준 떨어져서 같이 경기해야되냐,1,1.0
넌 눈이 삐었구나,0,1.0
#@인간및인간집단.인물.방송인.여성# 이번 논란 다들 어떻게 생각해?,0,0.0
머리 나빠서 그 딴 일 하고 있으면 몸이라도 움직여서 알아보던가 해야지,1,1.0
난 필리핀 혼혈인데 한국어 좀 가르쳐줬으면 좋겠어,0,0.0
ㅇㅈㅋㅋ 뭣도 아닌것들이 가오잡고 자빠졌음,1,1.0
ㅋㅋ 내가 고생시키는 건 사실이니까 감수해야지.,0,0.0
정치경험이 없어서 잘 할지 모르겠다,0,0.0
그래도 니처럼 한심하게 하지는 않았음ㅋㅋ,1,1.0
저 집 아들 진짜 못생겼더라,1,1.0
인성 더럽다 정말.,1,1.0
옆 단지 임대 아파트 애들이 자꾸 우리 아파트 놀이터 와서 노는 거 좀 불쾌해,1,0.0
목 따버리기 전에 크게 좀 말해,1,1.0
난 진짜 32평 이하 사는 애들은 거지 같아서 친구 못하겠어 ...,1,1.0
자꾸 내 탓 하지 마라. 당신이 무능한 거야.,1,1.0
차라리 폭우가 내렸어야 배가 안아팠을텐데...........,1,1.0
ㅇㅇ남자들이 차별받지 봊이들 집에서 설거지하고 청소하는게 뭐가 힘들다고 남자들은 군대가고 직장에서 스트레스 받고 여자들 요즘은 밥도 제대로 못차리잖아,1,1.0
자신은 아빠찬스 같은 거 허용 안 한다고 알리는 거지.,1,0.0
조선족 많이 사는 동네치고 시끄럽지 않은 동네가 없긴 해,1,1.0
코로나 보다 더 무서운 확산 속도 아니겠노,1,1.0
남자 배우들 중 누가 제일 좋음?,0,0.0
한글도 똑바로 못하는게 영어는 알아 듣겠냐,1,1.0
어떻게 사람보다 돈이 먼저가 되는 건지 참,1,0.0
우리 와이프 요새 스와핑 하더니 몸도 좋아지고 표정도 밝아졌어 라고 했다가 쪽만 팔았네,0,1.0
뭘 하면서 살든 너랑 무슨 상관이라구..,0,0.0
아비행패 보고 자라서 난 결혼 안함,1,1.0
여성들은 배려를 할 줄 몰라,1,1.0
그니까 실수 했으면 사과라도 하던가.. 또 아주 그냥 당당해요 확 패버리고 싶게,1,1.0
아 #@인간및인간집단.조직및단체.연예기획사# 아이돌 너무 좋아 나는 어쩔 수 없는 #@인간및인간집단.조직및단체.연예기획사#타운 시민 인가봐,0,0.0
허구언날 컴퓨터만 하고있으니까 머리가 아프지,0,0.0
그냥 보면 더럽다는 생각밖에 안 들어,1,1.0
진짜 좀만이들 싹다 갈아마시고 싶네 부모년들이 문제야,1,1.0
당뇨는 평생 약을 먹는 병이라던데?,0,0.0
그럼 뭐해 얼굴이 그렇게 못생겨서 제일 중요한 걸 안 가졌는데,1,1.0
빠순아 쟤 전형적인 M자 탈모는 맞아,1,1.0
철가방 문신충 뒤지든지 말든지 빨리 환불이나 해줘요.,1,1.0
이번 정부는 세금페티쉬 세금성애자새리들,1,1.0
너는 니 주제를 파악해야지 언제까지 그렇게 뜬구름잡는 소리만 할거야,1,1.0
요즘 저 연예인 활동 뜸하지 않아? 무슨 일 있나,0,0.0
그러게 엄마는 너무 바르게 아들 교육시켰는데 아들내미는 짐승이 따로 없네.,1,1.0
뭐래 경험 있어도 떨리거든 첫경험만 떨리는 게 아닌 것 처럼 ㅋㅋㅋ,1,1.0
완전 싸이코패스구만.,1,1.0
거기 무슨 신천지인가는 교주가 신이라던데,0,0.0
생긴거만 봐도 열이 받아서 가슴이 웅장해진다 ㅋㅋㅋㅋ,1,1.0
우짜노 돈 많이 들겠다.,0,0.0
ㅋㅋ없는데 담에 또 걸리면 그땐 걍 박아버릴 거임ㅅㄱ,1,1.0
와이프가 임신했는데 강원랜드나 다니다니,1,0.0
와 이런날엔 삼겹살에 소주인데,0,0.0
잘못한 게 왜 없어?,0,0.0
늙어가지고 뭐 처 바르고 꾸미지 않는 이상 봐줄 수가 없어ㅋㅋㅋ,1,1.0
그래도 나는 비켜드리면 고맙다고 하시는 분들 덕분에 비켜드리는 편이야,0,0.0
저딴 자식도 교수라니 성기를 잘라버려야 해,1,1.0
"야 아버지가 낙태 강요로 욕 쳐 먹으니까, 아들이 프로포폴로 이 사건 덮으려는구나ㅋㅋㅋ",1,1.0
쟤네들 총칼 말고 돌로 싸워 죽이는 거 아니냐 ㅋㅋ,0,1.0
빠순이들은 머리가 어떻게 된 거임?,0,1.0
어휴 내가 졌다 졌어.. 못말린다.,0,0.0
너보단 많아.,0,0.0
많아서 더 좋아.,0,0.0
그러게 괜히 세금 들여 감방에 넣지 말고 그 자리에서 죽이는 게 나을 듯.,1,1.0
자기 아이가 죽었는데 무섭다고 도망친 게 정상이 아니지.,1,0.0
이거 완전 돼지 식충이네,1,1.0
오픈 카카오톡방 채팅 에 산악 정모 올리는 애들 어떻게 생각해 ?,0,0.0
뭐.. 나중에는 저 친구들도 철 들겠지..! 그냥 신경 쓰지 말자 무서워 난 ㅠ,0,0.0
어서오세요 어떤 걸로 드릴까요,0,0.0
미래의 성매매범이 여기 있네 ㅎㅎ,1,1.0
넌 조선족들이랑 같이 밥먹고 싶냐?,1,1.0
"아따, 거 젊은이 말이 심하네",0,0.0
홍대병 걸린 애들 가로수길 가면 널렸다,1,0.0
굳이 일본 자동차는 왜 타고 다니는 거지,0,0.0
보수네 진보네 그 장단에 놀아나니까 개돼지라는 거다.,1,1.0
돈주고 밥주고 재워주는데 뭐가 힘들다고 그러는거야,0,0.0
야 나 좀 픽업해가라,0,0.0
유럽 여자 중에 제일 더럽게 못생기기로 유명한데 무슨 소리야,1,1.0
