text,real_label,wrong_label
뉴스에 그만 낯짝 그만 디밀면 좋겠다.,3,1.0
"아니지, 서울말은 나라가 정한 옳은 말인데, 사투리는 틀린 말이라는 거지.",2,0.0
그건 니가 보는 눈이 없고 지적 수준이 낮아서 그런 거야,0,1.0
ㅋㅋㅋ 피드백같은 소리하네,1,0.0
에이 한 명일까 줄줄이 대기하고 있을텐데,1,0.0
느려터진 우리 알바 진짜 발암물질이야.,7,1.0
뭐래 아니거든? 너보다 수학도 잘하잖아,3,0.0
메갈 웜퇘지들의 우상 아니야?,3,1.0
인생 루저처럼 방구석에서 게임만 하는 너보단 재벌들 빨아주는 게 더 가치있는 일이지 ㅋㅋㅋ,0,1.0
너는 의도가 좀 불순해보이는데,1,0.0
그렇겠지요. 어디서나 본인이 짱을 먹어야 할 테니까요.,0,1.0
어쩌라고 날이 그럼 추워지지 병싄아 돌머리냐?,7,1.0
요즘 애들은 노력을 너무 안 해,1,0.0
하앍 흥분돼 막 애액이 나오고 분수가 터져,6,0.0
#@인간및인간집단.인물.정치인.남성# 인상도 만만한 건 아닌데 싹 잊혀졌네. ㅋ,0,1.0
느그 머리가 비어서 이해 못하는 건 아니고?,0,1.0
그래도 다 감싸 안고 계속 좋아하는 걸 보니 사랑이다,1,0.0
이걸 물건이라고 팔아요? 환불해주세요 어이없네 진짜,0,1.0
못사는 곳애들은 못배워서 그런지 엄청 피곤해.,0,1.0
엄마도 알면서. 게임을 못하잖아. 그게 얼마나 싫은 일인데. 모른척해?,0,1.0
이사가야겠다. 동네가 너무 빈티나. 여기 살아서 더 가난해지나봐.,2,1.0
"그래 해라 해, 나도 이제 지겹다",5,0.0
ㅋㅋㅋ 걸레샛기들,6,1.0
니 보G랑 내 꼬튜 없어질 때까지 이러고 있을거야,6,0.0
이십층 높이 계단에서 밀어버릴라,4,1.0
우주 최강 관종이 목숨을 끊으면 끊었지 SNS를 끊겠냐,0,1.0
상련아 이렇게 나올리가 없잖아!1,7,1.0
봉에서 춤추는 거 봤는데 장난 아니더라 말 걸어볼까 했는데 상황이 그러니까..ㅋㅋ,1,0.0
그렇더라 나도 너무 정신머리없었던 것도 있고,1,0.0
#@인간및인간집단.인물.정치인.남성#형은 가끔 팩트로 너무 조져놔서 미워지다가도 미워할 수가 없어.,0,1.0
저 아이돌이 더 이상 춤추지 못 하게 엉덩이에 막대를 찔러 넣고 싶음.,4,1.0
아무리 그래도 싼 여자 같아 보이니까 좀 가려;,6,1.0
똥 싸고 다니는 강아지는 잘 챙겨주면서 일하고 오는 나한테는 밥도 안 챙겨줬어,1,0.0
쟤는 집에서 가정교육을 어떻게 받은거야?,0,1.0
와 이 여자 맘마통 오지게 크네,6,1.0
몰골이 그게 뭐야?,1,0.0
이 놈들은 여름아니라고 에어컨 쳐 안틀어 주는 것 봐라 진짜 패고 싶네,4,1.0
#@인간및인간집단.인물.정치인.남성#은 전생에 뭔 죄를 지었길래 이러냐?,0,1.0
오늘은 공강 많은 날이라서 수업도 별로 없는데 왜 바쁜척이야,1,0.0
"저런애들 금방 건물 뽑지, 다 대기업 회장들한테 가랭이 벌려가며사는거지",6,1.0
그럼 단물만 쪽쪽 빨아먹고 버린거야?,0,1.0
몰래 찍힌것도 아니고 자기가 자발적으로 한건데 뭔 피해요?,5,0.0
조만간 중국에서 문징어 게임도 나오겠다. ㅋㅋㅋ,0,1.0
우리도 하나 사서 영상찍고 팔아볼까?ㅋㅋ,5,0.0
즐거운 마음으로 워크숍 온 건데 팀원들 때문에 개빡치네,0,1.0
내가 니 시다바리니,7,1.0
한약 먹어서 부었거나,0,1.0
뭐긴뭐야 ~음식을 쓰레기지!!,0,1.0
제작비 누구 주머니로 들어갔는지 투자자들 알면 다 끝장이겠네,0,1.0
맞아 그냥 저런 노잼 프로그램하고 경쟁 상대가 안되잖아 ㅋㅋㅋ,0,1.0
누님이 여기로 오셔서 저랑 연애하면 차비는 얼마 드리면 될까요?,6,0.0
와 진짜 저렇게 태어나면 어떤 기분일까,1,0.0
이쁜여자 모유 맛은 다르냐? 이쁜 스시녀 모유맛이 어떨까 궁금하다,6,0.0
한국이 지들보다 잘 살아서 혐오하나?,1,0.0
무능한 한남이 결혼 못 해서 맨날 데려와서 그런 거지 뭐,3,1.0
그러니까 운동을 해서 살을 좀 빼~,1,0.0
감독이나 선수나 능력이 이정도까지인 거임,0,1.0
유학보냈겠지 비응신아,7,0.0
으 뭐라고? 진짜 더럽다 너도 이제 돼지 되겠네.,3,1.0
취직 대신 취집하려는 거네ㅋㅋㅋ,0,1.0
여자 연예인만 그러잖아. 여자들 종특임 선즙필승,2,1.0
근데 솔직히 그거 듣는 사람 입장에서 될 앤지 아닌지 바로 구분됨 ㅋㅋ,0,1.0
그렇게 가슴 훤히 드러내놓고 다니면 남사스러워서 어떡하냐.,0,1.0
부먹하는 애들 얼굴에 전부 염산 부어야 정신 차림,4,1.0
계산 못 하냐 중위 소득으로는 애시당초 서울 아파트를 못 산다.,1,0.0
요즘 돈 없어서 오피 못가고 전화방 가봤다,6,0.0
그런것들은 안 쳐맞아봐서 그렇다,4,1.0
폭주족 단속 하다가 1600만원 민사소송 맞은 #@# 보니까 이게 나라인가 싶다 답이 없네,0,1.0
배달 기사들 대부분 못배운 애들 아니냐?,2,1.0
넌 다음주가 시험인데 아직도 게임중이니?,2,0.0
완전 고릴라같아서 징그러워 ㅋㅋㅋ,0,1.0
오늘따라 선수가 왜 이러시나,1,0.0
옛날엔 손목만 잡아도 다 넘어왔는데,6,0.0
그런 놈도 결혼을 하네 참나,3,1.0
보여주기식 들이밀기 역겹네,3,1.0
화장이 옛날 화장이라서 촌스러워 보이는 거 같음,0,1.0
착한척 독실한척 하면서 순진한 애들 꼬시다니,0,1.0
분노해도 별로 안 무서울 것 같은데요?,1,0.0
맞아 더워서 짜증 이빠이 그냥 아무나 패주고 싶음,4,1.0
좀 조용히 하고 기다려 그런다고 빨리 맞냐?,1,0.0
거주 이전 행복의 자유를 틀어막은 곰재앙 정권,0,1.0
#@인간및인간집단.인물.정치인.남성#은 여자 하나 잘못 만났다가 인생 망했네,0,1.0
참고로 빡치게 하면 보정 전 사진 풀 거예요.,1,0.0
군대 제대하고 성욕이 개폭발하던 시기에 쌀거같으면 멈추고 또 쌀거같으면 멈추다가 16시간만에 사정하면서 기절함,6,0.0
그러게 내가 현대중공업사라고 했잖아 뵹신아,7,1.0
그런 애들은 관종인가? 이상한 사람 너무 많아,0,1.0
김 대리는 여자 치고 피부가 검어서 남자들이 안 좋아하겠어 ㅎㅎ,2,1.0
중고등학교 앞만 지나가면 10대 여자애들 체취를 폐 속 깊이 흡입하고 싶어 미치겠다,6,0.0
아무리 노력해봤자 기승전 와꾸라서 못생긴 것들은 답이 없어.,0,1.0
같이하면 진짜 쥐어 박고 싶을꺼야,0,1.0
최종 실패라잖아..,1,0.0
너는 그럴 돈 없으니까 나한테 비아냥대며 정신승리하면 형편이 좀 나아지니?,0,1.0
너 정말 독하구나,1,0.0
알려줬잖아. 아닌척하다니 염치도 없군.,3,1.0
누구는 물류센터에서 땀 뻘뻘흘리면서 쌔빠지게 일하는데 개부럽네,0,1.0
아 나는 게이들 좀 깨름칙해... 같이 군대에서 생활 못하겟는데,3,0.0
"그럴 땐 기선제압을 해야해, 날 따라해봐",1,0.0
스터디 카페 훌쩍충들 개극혐이지 않음? 진짜 짜증 남,0,1.0
어떤 틀딱이 이 시국에 코스르를 하냐,3,1.0
잠잘 때 시끄럽게 하면 죽여버린다,5,1.0
ㅇㅈ ㅋㅋㅋㅋ,1,0.0
게임에서 이 캐릭터 이렇게 움직이면 팬티 보인다?,6,0.0
찐따 얼굴에 물 준다고 잘생겨지냐?,0,1.0
저 여자도 쉽게 대줄 거 같이 보이잖아.,6,1.0
가게하면서 돈 먼저 주고 돈에 맞춰 안주 가져오라는 갑질은 기본이죠,0,1.0
일본 대기업 성 교육 뭐 별에 별걸 다 가르친다던데 개꼴림 ㅋㅋ,6,0.0
난 저 모델 너무 비호감이더라.,1,0.0
어제 백화점 갔는데 짱깨들 엄청 많더라,3,0.0
페미들 즙짜면 돈주고 다 해주더니만 군인들 다치면 나몰라라 하다가 듸지면 다 입싹 닫고 개 역겨운 새77ㅣ들 이래서 #@#이 안된다,3,1.0
빨리 부국강병해야 저 놈들이 진심으로 굴복할 거임,1,0.0
너 바꾼지 일년도 안됐지 않아?,1,0.0
틀딱들과의 술자리엔 꼭 정치 얘기를 준비해 가세요.,2,1.0
니가 잘난 것 같냐?,0,1.0
한국 여성이 없어졌으면 좋겠다는 확장적 표현이라 정당한 발언으로 인정합니다. ㅋㅋㅋ,1,0.0
내가 맨날 먹버하는 애랑 친구여서 잘알아,6,0.0
"그래, 부모 밑에서 사느니 차라리 남의 돈 구걸하면서 살겠어.",3,1.0
너 패알못이네,0,1.0
"맞아, 앞에서는 괜찮다고 하고 컴플레인 넣어서 개 빡치게 한대",1,0.0
여기서 백날천날 열폭해도 얘네 시급이 님 연봉임ㅎㅎ,0,1.0
여자들은 잘해줄래야 잘해줄 수가 없다니까 하루종일 남탓 징징징 지겨워 죽겠어,0,1.0
말 그대로 글자자판기야,0,1.0
여자 아이돌들은 춤 출 때 속바지를 안입었으면 좋겠어,6,0.0
미국이랑 유럽은 진짜 언제 뒤질지 몰라서 유서 쓰고 작업 한다는데,0,1.0
안타깝다 담배도 피고 꽁초 그냥 바닥에 버리겠네 사람이 어떻게 저럴수가 있을까 ㅋㅋ,0,1.0
있었을리가ㅋㅋ <aoa>때도 이름도 몰랐었는데,1,0.0
진짜로 ㅋㅋㅋ 이러다가 남자는 설 곳이 하나도 없겠어,1,0.0
문방구랑 대형 펜시점이랑 같다고 생각하는 너도 참 삐뚤다.,1,0.0
댕댕이들은 무슨 죄 ㅋㅋㅋ 주인땜에 욕먹네,0,1.0
이렇게 일부 때문에 남자에 대한 혐오가 생기지,3,0.0
이런 기사는 현재의 문씨 정권에선 의미없는 외침입니다,0,1.0
들어간다. 넌 왜 그렇게 키가 작아? 아랫공기는 덥지 않니?,2,1.0
식당 알바는 가난한 애들이나 하는 거 아냐?,2,1.0
야 숏컷한 여자들은 다 페미라고 보면되냐?,3,0.0
어 한명씩 돌아가면서 따먹고 싶어,6,0.0
"아씨, 쭉빵걸 한번 못 만져보고 저세상 가는건가",6,0.0
백신 부작용으로 사망하면 생기는 일 : 아무도 신경 안씀 ㅋㅋㅋ,0,1.0
남자도 중심이 우뚝 서야 한다 뭐,6,0.0
사장놈아 퇴직금도 못주고 그러면 내가 너를 갈기갈기 찢어버릴꺼다,4,1.0
그러게 아무리 힘들어도 뭐 저런 남자를 만나냐?,1,0.0
습관처럼 다리 떠는 애들은 걍 묶어놔야 해.,0,1.0
대선 후보 1위가 음주운전 ㅋㅋㅋ,1,0.0
"참자, 그런 놈 좋다고 빨고 사는 마누라도 있는데...",6,1.0
지가 안 서서 못했나? ㅋㅋㅋㅋ,6,1.0
괜히 열폭해서 열등감 드러내지 말고,0,1.0
니가 알아서 조치를 취해,1,0.0
왜 대한민국은 아직까지도 저렇게 생긴 사람이 있냐,0,1.0
집합 시켜서 기합 함 줘야겠노 건방진 놈 잘 걸렸다,4,1.0
난 심하게 인종 차별하는 사람들은 못 배운거같아서 싫더라ㅋㅋ,1,0.0
#@인간및인간집단.인물.인물_무정보.여성# 듣는 순간 토 나온다.,3,1.0
꼬져주면 좋겠다,7,1.0
없어도 니보단 나을 듯 ㅋㅋ 니 자서전 한번 써보셈 ㅋㅋ ㄹㅇ 인생 풍비박산 이야기 ㄹㅇㅋㅋ,7,1.0
그냥 집하나 사두시고 혼자 사세요,1,0.0
사장이 조선족 사람이라서 그런가 봐.,3,0.0
범죄자들 싹 다 모아서 현실판 #@#어때?,0,1.0
와 묶어놓고 뺨을 후려야 정신차릴거야?,4,1.0
중국인들 대체 지구에 무슨 짓을 하는 거냐,3,0.0
으~ 역겨워~ 나 같으면 혼자 산다 ㅋㅋ 상대방한테 미안해서 ㅋㅋ 개작아 진짜,6,1.0
"김모씨, 전모씨 가짜 인터뷰로 기자가 또 소설 썼네",3,0.0
야이 자석아 술을 뭇으면 집에가서 얌전히잘것이지,0,1.0
#@인간및인간집단.인물.정치인.남성#이 시킨 대로 한 애가 무슨 잘못인데?,1,0.0
그러게 성형이 싫으면 화장이라도 하지,0,1.0
#@#도 김치녀 나와서 떠든 뒤로 시청률 떡락했네,0,1.0
내가 게이라고? 말 다했나?,3,0.0
킥라니 1킬 할 수 있었는데 아깝네,7,1.0
너는 얼굴도 예쁜데 왜 그렇게 귀염성이 없어?,2,0.0
양념당하겠네 조리돌림에ㅋㅋㅋ 쿵쾅이들은 좀 빠져라,3,1.0
저정도면 평소에 음주운전 가지고 엄청 싸웠단거. 한두번이 아니었단거지.,1,0.0
전라도는 좀스럽게 무기같은 거 안 씀,0,1.0
여자는 벅지다 VS 골반이다,6,0.0
지 성기를 자를 정도면 중증 정신병이긴 하지 ㅋㅋㅋ,0,1.0
와~ 휴대폰 케이스 뭐임ㅋㅋㅋㅋ,1,0.0
쟤가 진짜로 대한민국 해먹었구나,0,1.0
그냥 예쁘다고 빨아주는 듯 ㅋㅋㅋ 이게 이쁜건지 사람들 눈알 없는 수준;,6,1.0
ㅋㅋㅋㅋ 그때 공개된 귀공자 #@# 씨 사진이 더 가관이야.,0,1.0
좋은 말로 해도 줄까말까인데. 욕먹고 줄 거 같니. 안 준다. 너같은 애한텐,3,1.0
가슴 큰것들은 미련하다고 하던데.ㅋㅋ,0,1.0
알고 보면 트젠 아니야? ㅋㅋㅋ,3,1.0
"너도 궁금한 거 보니 열등 조센 맞나부다, ㅋㅋㅋ",2,1.0
"#@인간및인간집단.인물.정치인.남성# 아들놈은 조기 축구 때 펄펄 날았다는데, 뭐가 산재야?",0,1.0
저 사람은 말할때 왜 혓바닥을 낼름거리지,0,1.0
그래서 걔네한테 이번 작품을 팔려고.,1,0.0
페미니즘만 있으면 나라 하나 ㅅㅊ 내는 거 일도 아닌데ㅋㅋ,7,1.0
호모자식들 볼 때마다 역겹네,3,1.0
애들 싹수를 보면 부모 인성이 보인다,3,1.0
야 내가 진짜 동성애 얼마나 극혐하는 지 몰라? 남자가 남자를 좋아하는 건 말이 안돼,3,0.0
아역 할 때부터 색기가 남다르긴 했지,6,0.0
#@인간및인간집단.인물.정치인.남성# 정권은 대체 잘하는게 뭐가있냐?,0,1.0
관심 좀 얻어 보겠다고 참 애쓴다,0,1.0
백퍼 집안에 걸ㄹH 유전자 있을듯 ㅋㅋ,0,1.0
결국 안 죽었는데 뭐가 문젠데?,1,0.0
우리 신랑은 밤마다 한 마리의 짐승같애,0,1.0
딸배들 진짜 도로의 암 덩어리인데 전부 모아다가 #@#으로 보내 버리면 좋겠다,3,1.0
#@인간및인간집단.인물.인물_무정보.여성#는 고딩 때 학교도 안갔다.ㅋㅋㅋ,0,1.0
아재 서요?,6,0.0
이 자식 했네 했어.,6,0.0
난 노뚝자리니도 미치겠더라.,3,0.0
뭐래. 정신나갔냐?,7,1.0
탈색하면 탈색빔이야 조심해,1,0.0
친구가 없어서 정신병이 왔는데 정신병 때문에 친구도 없어서 자살도 못 하겠네요.,4,1.0
진짜 극혐이다!,3,1.0
맞아 너는 엉덩이가 너무 밋밋하더라,0,1.0
직원들이 세명몫을 하고있다고 하는데 그 기준을 누가 정하누 직원 한 명당 커피 뽑는 수 제한해뒀나?,1,0.0
단순히 늙어서 저렇게 된 건 아닌 것 같은데.,1,0.0
길에서 레깅스 입은 여자들 너무 선다,6,0.0
봤지 31개월 애기가 먼저 폭행 했다고 때렸단다 진짜 양심 출타 한 놈 아니냐?,0,1.0
정신 나간 소리 하네 니가 돈 벌어 오든지,7,1.0
그게 조선 국룰인데?,0,1.0
저 선수 2000억 짜리 선수 아니냐? 어떻게 저렇게 못해?,1,0.0
그럼 저런 여자들 가죽 벗겨다가 평생 소장했을 텐데,4,1.0
근데 꼭 보면 이길사람은 정해져 있는거처럼 보임ㅋㅋ,1,0.0
? 내가 미쳤나,1,0.0
그러면 제일 원하는 이벤트는 뭐야,6,0.0
이게 다 누구때문에 이렇게 된건데 뻔뻔하게 여길 찾아와,0,1.0
여야를 떠나서 나라를 다스리겠다는 넘들이 하는 짓이라곤...,0,1.0
"근데, 아기랑 발가락이 닮았다더라고. ㅋㅋ 그게 결혼에 성공한 이유인 듯?",1,0.0
내 딸한테 그랬음 갈아서 죽여버렸다.,4,1.0
이런걸 두고 순수악이라고 하나봐,1,0.0
저렇게 살 바에 월 200 벌어도 걍 혼자 쓰고 죽는게 낫다,0,1.0
#@인간및인간집단.인물.정치인.남성# 마눌님 남편 정신머리는 어떤가요?,0,1.0
우리 상사 하는 짓이 퇴근길에 쫓아가서 뒤통수 후리고 싶어,4,1.0
"난 괜찮다고 생각하는데, 너희 어머니 고향에 보내드려 빨리",0,1.0
39세 연하 여친 혼전임신이라니 더럽고 역겹다,0,1.0
국민들 혈세로 떵떵거리고 사네,0,1.0
맞아 그냥 거저 살려고 하지,0,1.0
돈 받아 먹으면 다 그렇게 되는 건가,1,0.0
쓰레기 같은 놈이 슬프기는 돈 어디로 빼돌렸는지 찾아서 너 꼭 감옥에 넣어주마,7,1.0
그러면서도 침착한척 하는게 완전 킬포지,0,1.0
영화 무료 다운 가능한 곳이 없나요?,5,0.0
